testcase,result
Positive_RemoveReaderFromGroupUserExistingExisting_P0,BLOCKED
Positive_RemoveReaderFromGroupSystemLastExisting_P0,BLOCKED
Positive_RemoveReaderFromGroupUserLastExisting_P0,BLOCKED
Positive_RemoveReaderFromGroupNullContextExistingExisting_P1,BLOCKED
Positive_RemoveReaderFromGroupNullContextLastExisting_P1,BLOCKED
Positive_SetAttribSystemSharedT0AtrStrEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribUserSharedT0AtrStrEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribSystemSharedT0ChanIDEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribUserSharedT0ChanIDEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribSystemSharedT0CharEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CharEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurBWTEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurBWTEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurCLKEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurCLKEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurCWTEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurCWTEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurDEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurDEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurEBCEncEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurEBCEncEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurFEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurFEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurIFSCEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurIFSCEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurIFSDEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurIFSDEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurNEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurNEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0CurProTypeEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribUserSharedT0CurProTypeEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribSystemSharedT0CurWEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0CurWEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0DefCLKEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0DefCLKEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0DefDataRateEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0DefDataRateEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0DevFrdNameEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribUserSharedT0DevFrdNameEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribSystemSharedT0DevInUseEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribUserSharedT0DevInUseEnoughPreallocValidLen_P0,BLOCKED
Positive_SetAttribSystemSharedT0DevSysNameEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribUserSharedT0DevSysNameEnoughPreallocValidLen_P0,PRODUCT
Positive_SetAttribSystemSharedT0DevUnitEnoughPreallocValidLen_P0,BLOCKED
